ID	@	City	@	Project ID	@	Betterplace NGO	@	Project Titel	@	Link to project	@	SDG_1	@	SDG_2	@	SDG_3	@	SDG_4	@	CHECKED
1	@	 BERLIN	@	22744	@	Off Road Kids Stiftung	@	Strassenkinder in Deutschland	@	https://www.betterplace.org/de/projects/22744-strassenkinder-in-deutschland	@	1	@		@	 	@		@	BERLIN
2	@		@	49352	@	jobs4refugees	@	Jobs4Refugees	@	https://www.betterplace.org/de/projects/49352-jobs4refugees-partner-fuer-gefluechtete-auf-ihrem-weg-in-arbeit-ausbildung	@	8	@		@	 	@		@	BERLIN
3	@		@	79880	@	Tafel Deutschland e.V.	@	Corona: Wie Sie gemeinsam mit den Tafeln helfen können	@	https://www.betterplace.org/de/projects/79880-corona-wie-sie-gemeinsam-mit-den-tafeln-helfen-koennen	@	2	@		@	 	@		@	BERLIN
4	@		@	36236	@	Start with a Friend e.V	@	Start with a friend	@	https://www.betterplace.org/de/projects/36236-start-with-a-friend-einwander-innen-locals-auf-augenhoehe-zusammenbringen	@	10	@		@	 	@		@	BERLIN
5	@		@	34094	@	Ipso gGmbH	@	Psychosoziales Counseling von Geflüchteten für Geflüchtete	@	https://www.betterplace.org/de/projects/34094-psychosoziales-counseling-von-gefluechteten-fuer-gefluechtete	@	3	@		@	 	@		@	BERLIN
6	@		@	8436	@	Anderes Sehen e.V.	@	Fortschrittliche Förderung blinder Kinder	@	https://www.betterplace.org/de/projects/8436-fortschrittliche-foerderung-blinder-kinder	@	4	@	3	@	 	@		@	BERLIN
7	@		@	78714	@	"Die Arche" Kinderstiftung	@	Kinder gezielt durch Spiel & Spaß fördern	@	https://www.betterplace.org/de/projects/78714-kinder-gezielt-durch-spiel-spass-foerdern	@	4	@		@	 	@		@	BERLIN
8	@		@	102	@	Deutsches Kinderhilfswerk e.V.	@	Ein gefüllter Schulranzen für alle Kinder	@	https://www.betterplace.org/de/projects/102-ein-gefuellter-schulranzen-fuer-alle-kinder	@	4	@		@	 	@		@	BERLIN
9	@		@	7910	@	"Die Arche" Kinderstiftung	@	Die Arche: Mittagstisch für bedürftige Kinder	@	https://www.betterplace.org/de/projects/7910-die-arche-mittagstisch-fuer-beduerftige-kinder	@	2	@		@	 	@		@	BERLIN
10	@		@	191	@	GSE e. V.	@	Lernen mit weltweitem Horizont	@	https://www.betterplace.org/de/projects/191-lernen-mit-weltweitem-horizont	@	4	@		@	 	@		@	BERLIN
